Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
11.90,-116.70031243,32.72964766,-196.00,0.00000,0.00000,0.00000
11.90,-116.70031243,32.72964766,-196.00,0.00000,0.00000,0.00000
11.90,-116.70031243,32.72964766,-196.00,0.00000,0.00000,0.00000
11.90,-116.70031243,32.72964766,-196.00,0.00000,0.00000,0.00000
11.90,-116.70031243,32.72964766,-196.00,0.00000,0.00000,0.00000
11.90,-116.70159382,32.70934583,1984.00,0.00000,0.00000,0.00000
11.90,-116.70159382,32.70934583,1984.00,0.00000,0.00000,0.00000
11.90,-116.70159382,32.70934583,1984.00,0.00000,0.00000,0.00000
11.90,-116.70159382,32.70934583,1984.00,0.00000,0.00000,0.00000
11.90,-116.70159382,32.70934583,1984.00,0.00000,0.00000,0.00000
11.90,-116.70159382,32.70934583,1984.00,0.00000,0.00000,0.00000
11.90,-116.69871069,32.72506627,1944.00,0.00000,0.00000,0.00000
11.90,-116.69871069,32.72506627,1944.00,0.00000,0.00000,0.00000
11.90,-116.69871069,32.72506627,1944.00,0.00000,0.00000,0.00000
11.90,-116.69871069,32.72506627,1944.00,0.00000,0.00000,0.00000
11.90,-116.69871069,32.72506627,1944.00,0.00000,0.00000,0.00000
11.90,-116.69871069,32.72506627,1944.00,0.00000,0.00000,0.00000
12.00,-116.69710896,32.73108496,1024.00,0.00000,0.00000,0.00000
12.00,-116.69710896,32.73108496,1024.00,0.00000,0.00000,0.00000
12.00,-116.69710896,32.73108496,1024.00,0.00000,0.00000,0.00000
12.00,-116.69710896,32.73108496,1024.00,0.00000,0.00000,0.00000
12.00,-116.69710896,32.73108496,1024.00,0.00000,0.00000,0.00000
12.00,-116.69710896,32.73108496,1024.00,0.00000,0.00000,0.00000
12.00,-116.70479729,32.71644249,1394.00,0.00000,0.00000,0.00000
12.00,-116.70479729,32.71644249,1394.00,0.00000,0.00000,0.00000
12.00,-116.70479729,32.71644249,1394.00,0.00000,0.00000,0.00000
12.00,-116.70479729,32.71644249,1394.00,0.00000,0.00000,0.00000
12.00,-116.70479729,32.71644249,1394.00,0.00000,0.00000,0.00000
12.00,-116.70479729,32.71644249,1394.00,0.00000,0.00000,0.00000
12.00,-116.70052599,32.72964766,-196.00,0.00000,0.00000,0.00000
12.00,-116.70052599,32.72964766,-196.00,0.00000,0.00000,0.00000
12.00,-116.70052599,32.72964766,-196.00,0.00000,0.00000,0.00000
12.00,-116.70052599,32.72964766,-196.00,0.00000,0.00000,0.00000
12.00,-116.70052599,32.72964766,-196.00,0.00000,0.00000,0.00000
12.00,-116.70052599,32.72964766,-196.00,0.00000,0.00000,0.00000
12.00,-116.70170060,32.70916617,2004.00,0.00000,0.00000,0.00000
12.00,-116.70170060,32.70916617,2004.00,0.00000,0.00000,0.00000
12.00,-116.70170060,32.70916617,2004.00,0.00000,0.00000,0.00000
12.00,-116.70170060,32.70916617,2004.00,0.00000,0.00000,0.00000
12.00,-116.70170060,32.70916617,2004.00,0.00000,0.00000,0.00000
12.00,-116.70170060,32.70916617,2004.00,0.00000,0.00000,0.00000
12.00,-116.69881748,32.72506627,1964.00,0.00000,0.00000,0.00000
12.00,-116.69881748,32.72506627,1964.00,0.00000,0.00000,0.00000
12.00,-116.69881748,32.72506627,1964.00,0.00000,0.00000,0.00000
12.00,-116.69881748,32.72506627,1964.00,0.00000,0.00000,0.00000
12.00,-116.69881748,32.72506627,1964.00,0.00000,0.00000,0.00000
12.00,-116.69881748,32.72506627,1964.00,0.00000,0.00000,0.00000
12.10,-116.69721574,32.73108496,1024.00,0.00000,0.00000,0.00000
12.10,-116.69721574,32.73108496,1024.00,0.00000,0.00000,0.00000
12.10,-116.69721574,32.73108496,1024.00,0.00000,0.00000,0.00000
12.10,-116.69721574,32.73108496,1024.00,0.00000,0.00000,0.00000
12.10,-116.69721574,32.73108496,1024.00,0.00000,0.00000,0.00000
12.10,-116.69721574,32.73108496,1024.00,0.00000,0.00000,0.00000
12.10,-116.70490407,32.71635265,1404.00,0.00000,0.00000,0.00000
12.10,-116.70490407,32.71635265,1404.00,0.00000,0.00000,0.00000
12.10,-116.70490407,32.71635265,1404.00,0.00000,0.00000,0.00000
12.10,-116.70490407,32.71635265,1404.00,0.00000,0.00000,0.00000
12.10,-116.70490407,32.71635265,1404.00,0.00000,0.00000,0.00000
12.10,-116.70490407,32.71635265,1404.00,0.00000,0.00000,0.00000
12.10,-116.70073956,32.72973749,-206.00,0.00000,0.00000,0.00000
12.10,-116.70073956,32.72973749,-206.00,0.00000,0.00000,0.00000
12.10,-116.70073956,32.72973749,-206.00,0.00000,0.00000,0.00000
12.10,-116.70073956,32.72973749,-206.00,0.00000,0.00000,0.00000
12.10,-116.70073956,32.72973749,-206.00,0.00000,0.00000,0.00000
12.10,-116.70073956,32.72973749,-206.00,0.00000,0.00000,0.00000
12.10,-116.70191417,32.70898650,2024.00,0.00000,0.00000,0.00000
12.10,-116.70191417,32.70898650,2024.00,0.00000,0.00000,0.00000
12.10,-116.70191417,32.70898650,2024.00,0.00000,0.00000,0.00000
12.10,-116.70191417,32.70898650,2024.00,0.00000,0.00000,0.00000
12.10,-116.70191417,32.70898650,2024.00,0.00000,0.00000,0.00000
12.10,-116.70191417,32.70898650,2024.00,0.00000,0.00000,0.00000
12.10,-116.69892426,32.72506627,1974.00,0.00000,0.00000,0.00000
12.10,-116.69892426,32.72506627,1974.00,0.00000,0.00000,0.00000
12.10,-116.69892426,32.72506627,1974.00,0.00000,0.00000,0.00000
12.10,-116.69892426,32.72506627,1974.00,0.00000,0.00000,0.00000
12.10,-116.69892426,32.72506627,1974.00,0.00000,0.00000,0.00000
12.10,-116.69892426,32.72506627,1974.00,0.00000,0.00000,0.00000
12.20,-116.69732252,32.73117479,1034.00,0.00000,0.00000,0.00000
